"Name","OperatingSystem","Description"
"DTVPC043","Windows 7 Professional",
"DTVPC030","Windows 7 Professional",
"DTVPC049","Windows 7 Professional",
"DTVPC052","Windows 7 Professional",
"DTVPC054","Windows 7 Professional",
"DTVPC080","Windows 7 Professional",
"DTVPC035","Windows 7 Professional",
"DTVPC036","Windows 7 Professional",
"DTVPC046","Windows 7 Professional",
"TI-BKP001","Windows 7 Professional",
"TIFORMAT059","Windows 7 Professional",
"DVDPC025","Windows 7 Professional",
"TESTE045-PC","Windows 7 Professional",
"DVDPC60","Windows 7 Professional",
"DVM002","Windows 7 Professional",
"TESTE01PC","Windows 7 Professional",
"DVDPC070","Windows 7 Professional",
"DFNPC011","Windows 7 Professional",
"DFNPC014","Windows 7 Professional",
"DFNPC020","Windows 7 Professional",
"DFNPC009","Windows 7 Professional",
"DLGPC004","Windows 7 Professional",
"DLGPC005","Windows 7 Professional",
"DFTPC010","Windows 7 Professional",
"DLGPC003","Windows 7 Professional",
"DFTPC007","Windows 7 Professional",
"DTVPC067","Windows 7 Professional",
"DTVPC057","Windows 7 Professional",
"DTVPC082","Windows 7 Professional",
"DTVPC096","Windows 7 Professional",
"DFTPC001","Windows 7 Professional",
"DFTPC003","Windows 7 Professional",
"DTVPC059","Windows 7 Professional",
"DTVPC061","Windows 7 Professional",
"DTESTEPC002","Windows 7 Professional",
"DTESTEPC003","Windows 7 Professional",
"DTIPC101","Windows 7 Professional",
"DTITEST09","Windows 7 Professional",
"DRHPC039","Windows 7 Professional",
"DRHPC089","Windows 7 Professional",
"DTINT0012","Windows 7 Professional",
"DTESTE03PC","Windows 7 Professional",
"DTIPC100","Windows 7 Professional",
"DTIPC035","Windows 7 Professional",
"DTIPC079","Windows 7 Professional",
"DTIPC018","Windows 7 Professional",
"DTIPC024","Windows 7 Professional",
"DTVPC017","Windows 7 Professional",
"DTVPC005","Windows 7 Professional",
"DTVPC008","Windows 7 Professional",
"DTVPC01","Windows 7 Professional",
"DVDPC010","Windows 7 Professional",
"DVDPC012","Windows 7 Professional",
"DTVPC026","Windows 7 Professional",
"DVDPC008","Windows 7 Professional",
"DVDPC00","Windows 7 Professional",
"DVDPC004","Windows 7 Professional",
"DVDPC006","Windows 7 Professional",
"DTVPC097","Windows 7 Professional",
"DTIPC007","Windows 7 Professional",
"DTIPC013","Windows 7 Professional",
"DTIPC015","Windows 7 Professional",
"DTESTE005TI","Windows 7 Professional",
"DTIPC002","Windows 7 Professional",
"DTIPC003","Windows 7 Professional",
"DTIPC005","Windows 7 Professional",
"DTIPC016","Windows 7 Professional",
"DTIPC008","Windows 7 Professional",
"DLGPC002","Windows 7 Professional",
"DMKTPC074","Windows 7 Professional",
"DMKPC017","Windows 7 Professional",
"DPDPC001","Windows 7 Professional",
"DPDPC006","Windows 7 Professional",
"DFNPC017","Windows 7 Professional",
"DTVPC001","Windows 7 Professional",
"DMKTPC059","Windows 7 Professional",
"DMKTPC070","Windows 7 Professional",
"DPCPPC050","Windows 7 Professional",
"DMKPC012","Windows 7 Professional",
"DMKPC005","Windows 7 Professional",
"DMKPC006","Windows 7 Professional",
"DMKPC007","Windows 7 Professional",
"DMKPC004","Windows 7 Professional",
"DMKPC014","Windows 7 Professional",
"DLGPC029","Windows 7 Professional",
"DLGPC041","Windows 7 Professional",
"DMANNB001","Windows 7 Professional",
"DVDPC009","Windows 7 Professional",
"DFNPC010","Windows 7 Professional",
"DQDPC003","Windows 7 Professional",
"DTISV042","Windows 7 Professional",
"DFTPC009","Windows 7 Professional",
"DCDPC013","Windows 7 Professional",
"DFERPC007","Windows 7 Professional",
"DFATPC002","Windows 7 Professional",
"DCPPC005","Windows 7 Professional",
"DGNPC005","Windows 7 Professional",
"DRBPC002","Windows 7 Professional",
"DCOPC005","Windows 7 Professional",
"DALPC005","Windows 7 Professional",
"DRHPC005","Windows 7 Professional",
"DQUPC002","Windows 7 Professional",
"DCPPC029","Windows 7 Professional",
"DFNPC006","Windows 7 Professional",
"DFNPC007","Windows 7 Professional",
"DCPPC002","Windows 7 Professional",
"DCPPC031","Windows 7 Professional",
"DCTPC001","Windows 7 Professional",
"DFCPC003","Windows 7 Professional",
"DFNPC008","Windows 7 Professional",
"DFNPC002","Windows 7 Professional",
"DCPPC001","Windows 7 Professional",
"DGUPC001","Windows 7 Professional",
"DCPPC004","Windows 7 Professional",
"DFTPC012","Windows 7 Professional",
"DFTPC035","Windows 7 Professional",
"DCPPC003","Windows 7 Professional",
"DCOPC006","Windows 7 Professional",
"DCPPC025","Windows 7 Professional",
"DCPPC030","Windows 7 Professional",
"DRHPC011","Windows 7 Professional",
"DRHPC029","Windows 7 Professional",
"DPTVPC037","Windows 7 Professional",
"DRHPC007","Windows 7 Professional",
"DRHPC002","Windows 7 Professional",
"DRHPC003","Windows 7 Professional",
"DRHPC004","Windows 7 Professional",
"DRCPC001","Windows 7 Professional",
"DPRPC001","Windows 7 Professional",
"DPRPC005","Windows 7 Professional",
"DPRPC006","Windows 7 Professional",
"DFCPC041","Windows 7 Professional",
"DLGPC006","Windows 7 Professional",
"DPDPC009","Windows 7 Professional",
"DPDPC059","Windows 7 Professional",
"DPRPC007","Windows 7 Professional",
"DPRPC002","Windows 7 Professional",
"DCDPC003","Windows 7 Professional",
"DBKPC017","Windows 7 Professional",
"DTVPC042","Windows 7 Professional",
"DTVPC076","Windows 7 Professional",
"DFNPC021","Windows 7 Professional",
"DFISPC001","Windows 7 Professional",
"DMKPC013","Windows 7 Professional",
"DTVPC041","Windows 7 Professional",
"DTVPC045","Windows 7 Professional",
"DTVPC020","Windows 7 Professional",
"DTVPC027","Windows 7 Professional",
"DTVPC003","Windows 7 Professional",
"DCONPC001","Windows 7 Professional",
"DTVPC029","Windows 7 Professional",
"DPROPC029","Windows 7 Professional",
"DTVPC062","Windows 7 Professional",
"DTVPC015","Windows 7 Professional",
"DPDPC013","Windows 7 Professional",
"DTVPC024","Windows 7 Professional",
"DTVPC040","Windows 7 Professional",
"DFTPC004","Windows 7 Professional",
"DTVPC075","Windows 7 Professional",
"TIDURIN-PC","Windows 7 Professional",
"DTVPC025","Windows 7 Professional",
"DTVPC006","Windows 7 Professional",
"DFNPC015","Windows 7 Professional",
"DCONT100","Windows 7 Professional",
"DCOPC002","Windows 7 Professional",
"DGNPC003","Windows 7 Professional",
"DCDPC012","Windows 7 Professional",
"DADMPC025","Windows 7 Professional",
"DCDPC001","Windows 7 Professional",
"DCDPC011","Windows 7 Professional",
"BACKUPTI","Windows 7 Professional",
"GUARITA","Windows XP Professional",
"DTIVM003","Windows 8 Release Preview",
"DSTPC001","Windows XP Professional",
"DFNPC005","Windows XP Professional",
"DMOPC002","Windows 7 Professional",
"DTVPC011","Windows 7 Professional",
"DVDPC007","Windows 8 Pro",
"DVM003WIN8","Windows 8 Consumer Preview",
"DTINB003","Windows XP Professional",
"DTIPC09","Windows XP Professional",
"DMVPC001","Windows XP Professional",
"DTIPC009","Windows XP Professional",
"DSPPC002","Windows XP Professional",
"DVMFINPC001","Windows XP Professional",
"DELPC001","Windows XP Professional",
"DTIPC014","Windows XP Professional",
"DTIPC012","Windows XP Professional",
"DTVPC002","Windows 7 Professional",
"DTVPC012","Windows 7 Professional",
"DTVPC044","Windows 7 Professional",
"DTVPC004","Windows 7 Professional",
"DTITEST033","Windows 7 Professional",
"DCDPC010","Windows 7 Professional",
"DTVPC031","Windows 7 Professional",
"DTVPC032","Windows 7 Professional",
"DMANPC001","Windows 7 Professional",
"DTVPC016","Windows 7 Professional",
"DTVPC009","Windows 7 Professional",
"DTVPC050","Windows 7 Professional",
"DTVPC091","Windows 7 Professional",
"DTVPC047","Windows 7 Professional",
"DTVPC064","Windows 7 Professional",
"DMKPC015","Windows 7 Professional",
"DTVPC084","Windows 7 Professional",
"DTVPC066","Windows 7 Professional",
"DBKPC003","Windows 7 Professional",
"DVDPC020","Windows 7 Professional",
"DRHPC085","Windows 7 Professional",
"DBKPC008","Windows 7 Professional",
"DFISPC040","Windows 7 Professional",
"DPDPC008","Windows 7 Professional",
"DCDPC015","Windows 7 Professional",
"DLGPC011","Windows 7 Professional",
"DCDPC002","Windows 7 Professional",
"DBKPC005","Windows 7 Professional",
"DVM005","Windows 7 Professional",
"DMVPC002","Windows 7 Professional",
"DFTPC036","Windows 7 Professional",
"DMKTPC060","Windows 7 Professional",
"DPRPC079","Windows 7 Professional",
"DDIPC001","Windows 7 Professional",
"DCOMPC002","Windows 7 Professional",
"DRHPC49","Windows 7 Professional",
"DPDPC018","Windows 7 Professional",
"DBKPC007","Windows 7 Professional",
"DLGPC008","Windows 7 Professional",
"DTIPC056","Windows 7 Professional",
"DTIPC039","Windows 7 Professional",
"DTIPC042","Windows 7 Professional",
"DTIPC051","Windows 7 Professional",
"DFNPC001","Windows 7 Professional",
"DPDPC010","Windows 7 Professional",
"DALPC004","Windows 7 Professional",
"DPCPPC029","Windows 7 Professional",
"DTVPC079","Windows 7 Professional",
"DGUPC002","Windows 7 Professional",
"DTVPC099","Windows 7 Professional",
"DFERPC008","Windows 7 Professional",
"DPDPC012","Windows 7 Professional",
"DTIPC026","Windows 7 Professional",
"DTVPC065","Windows 7 Professional",
"DTIPC010","Windows 7 Professional",
"DCON002","Windows 7 Professional",
"DGUPC003","Windows 7 Professional",
"DBKPC006","Windows 7 Professional",
"TESTE-PC","Windows 7 Professional",
"TESTE09","Windows 7 Professional",
"DCOPC001","Windows 7 Professional",
"DTVPC037","Windows 7 Professional",
"DTVPC013","Windows 7 Professional",
"DFERNB001","Windows 7 Professional",
"DMOPC02","Windows 7 Professional",
"DQDPC004","Windows 7 Professional",
"DFERPC006","Windows 7 Professional",
"DCDPC100","Windows 7 Professional",
"DRHPC080","Windows 7 Professional",
"DPRPC011","Windows 7 Professional",
"PC007","Windows 7 Professional",
"DRHPC1","Windows 7 Professional",
"DBKPC011","Windows 7 Professional",
"DPCPPC005","Windows 7 Professional",
"DPCPPC003","Windows 7 Professional",
"DPCPPC004","Windows 7 Professional",
"DVM003","Windows 7 Professional",
"DTVPC063","Windows 7 Professional",
"USER-PC","Windows 7 Professional",
"DREPC001","Windows 7 Professional",
"DFNPC022","Windows 7 Professional",
"DFSPC001","Windows 7 Professional",
"DBKPC012","Windows 7 Professional",
"DMANPC002","Windows 7 Professional",
"DPDPC022","Windows 7 Professional",
"DPDPC023","Windows 7 Professional",
"DGNCC","Windows 10 Pro",
"TESTE","Windows 10 Pro",
"DTVPC138","Windows 10 Pro",
"DTVPC103","Windows 10 Pro",
"DTVPC158","Windows 10 Pro",
"DAUPC002","Windows 10 Pro",
"DTVPC109","Windows 10 Pro",
"DJRPC002","Windows 10 Pro",
"DTVPC117","Windows 10 Pro",
"DTVPC155","Windows 10 Pro",
"DTVPC156","Windows 10 Pro",
"DTVPC107","Windows 10 Pro",
"DESKTOP-0TK7RM5","Windows 10 Pro",
"DALPC008","Windows 10 Pro",
"DTVPC130","Windows 10 Pro",
"DTVPC150","Windows 10 Pro",
"DRHPC009","Windows 10 Pro",
"DTIPC023","Windows 10 Pro",
"DCOPC010","Windows 10 Pro",
"DTVPC152","Windows 10 Pro",
"DPRCPC003","Windows 10 Pro",
"DTVPC108","Windows 10 Pro",
"DLGPC009","Windows 10 Pro",
"DGNPC004","Windows 10 Pro",
"DPRCPC002","Windows 10 Pro",
"DGNPC010","Windows 10 Pro",
"DVDPC013","Windows 10 Pro",
"DQDPC005","Windows 10 Pro",
"DTVPC154","Windows 10 Pro",
"DDIPC002","Windows 10 Pro",
"DSTPC005","Windows 10 Pro",
"DTVPC136","Windows 10 Pro",
"DLGPC010","Windows 10 Pro",
"DPFPC001","Windows 10 Pro",
"DTVPC126","Windows 10 Pro",
"DALPC007","Windows 10 Pro",
"DRHPC008","Windows 10 Pro",
"DGUPC005","Windows 10 Pro",
"DGUPC004","Windows 10 Pro",
"DTVPC134","Windows 10 Pro",
"DPCPPC001","Windows 10 Pro",
"DRHPC006","Windows 10 Pro",
"DTVPC143","Windows 10 Pro",
"DCDPC016","Windows 10 Pro",
"DPDPC016","Windows 10 Pro",
"DVDPC011","Windows 10 Pro",
"DGNPC007","Windows 10 Pro",
"DFERPC002","Windows 10 Pro",
"DCDPC022","Windows 10 Pro",
"DPDPC002","Windows 10 Pro",
"DVDPC015","Windows 10 Pro",
"DTVPC132","Windows 10 Pro",
"DTVPC140","Windows 10 Pro",
"DTIPC102","Windows 10 Pro",
"DDIRMA002","Windows 10 Pro",
"VM01","Windows 10 Pro",
"DTVPC129","Windows 10 Pro",
"DTVPC124","Windows 10 Pro",
"DBKPC016","Windows 10 Pro",
"DPRPC008","Windows 10 Pro",
