"DisplayName","Owner","CreationTime","ModificationTime"
"IMPXR022_Recebimento","DURIN\Domain Admins","11/11/2015 08:29:43","15/05/2023 08:53:30"
"IMPXR023_Producao","DURIN\Domain Admins","19/03/2012 16:30:46","15/05/2023 08:53:30"
"IMPXR021_Logistica","DURIN\Domain Admins","14/06/2016 13:18:42","15/05/2023 08:53:30"
"IMPXR015_Projetos","DURIN\Domain Admins","14/06/2016 13:36:32","15/05/2023 08:53:30"
"IMPXR018_Financeiro","DURIN\Domain Admins","14/06/2016 11:17:41","15/05/2023 08:53:30"
"IMPZB005_Expedicao","DURIN\Domain Admins","04/02/2013 08:17:49","15/05/2023 08:53:30"
"IMPZB099_Qualidade_01","DURIN\Domain Admins","17/05/2023 13:34:11","17/05/2023 13:50:50"
"IMPZB001_Expedicao","DURIN\Domain Admins","11/04/2012 09:51:53","15/05/2023 08:53:30"
"IMPXR097_Almoxarifado_01","DURIN\Domain Admins","17/05/2023 11:01:15","17/05/2023 13:20:00"
"IMPXR097_Almoxarifado_02","DURIN\Domain Admins","17/05/2023 13:19:45","17/05/2023 13:41:34"
"IMPXR009_Faturamento","DURIN\Domain Admins","23/07/2013 13:35:53","15/05/2023 08:53:30"
"IMPXR010_Rh","DURIN\Domain Admins","04/07/2012 10:44:24","15/05/2023 08:53:30"
"IMPXR008_Expedicao","DURIN\Domain Admins","20/04/2012 16:03:12","15/05/2023 08:53:30"
"IMPXR007_Qualidade","DURIN\Domain Admins","09/10/2012 10:27:26","15/05/2023 08:53:30"
"IMPXR007_Rh","DURIN\Domain Admins","13/02/2013 10:00:50","15/05/2023 08:53:30"
"IMPXR013_Qualidade","DURIN\Domain Admins","08/10/2012 10:20:02","15/05/2023 08:53:30"
"IMPXR014_compras","DURIN\Domain Admins","11/01/2013 17:30:13","15/05/2023 08:53:30"
"IMPXR013_Ferramentaria","DURIN\Domain Admins","02/06/2017 11:51:45","15/05/2023 08:53:30"
"IMPXR011_Seguranca","DURIN\Domain Admins","16/07/2013 22:12:58","15/05/2023 08:53:30"
"IMPXR012_Qualidade_Produtos","DURIN\Domain Admins","22/10/2015 11:06:26","17/05/2023 10:59:44"
"Sincroniza Hora","DURIN\Domain Admins","12/01/2012 13:37:37","15/05/2023 08:53:30"
"test_energy","DURIN\Domain Admins","11/11/2016 14:59:24","15/05/2023 08:53:30"
"msi_vnc","DURIN\Domain Admins","22/02/2017 09:01:52","15/05/2023 08:53:30"
"Mapeia Pasta","DURIN\Domain Admins","15/03/2017 14:40:23","15/05/2023 08:53:30"
"msi_avast","DURIN\Domain Admins","16/02/2017 14:48:08","15/05/2023 08:53:30"
"TESTE_01",,"26/04/2019 16:58:20","15/05/2023 08:53:30"
"WSUS","DURIN\Domain Admins","10/04/2012 09:04:05","15/05/2023 08:53:30"
"Teste GPO",,"16/04/2019 14:57:34","15/05/2023 08:53:30"
"Teste","DURIN\Domain Admins","26/05/2022 10:51:19","15/05/2023 08:53:32"
"TESTE BLOCK USB","DURIN\Domain Admins","17/11/2017 10:53:40","15/05/2023 08:53:30"
"Libera Porta PSEXEC Firewall","DURIN\Domain Admins","22/02/2017 15:00:53","15/05/2023 08:53:30"
"Libera Porta VNC Firewall","DURIN\Domain Admins","25/10/2016 13:27:56","15/05/2023 08:53:30"
"Install Programas","DURIN\Domain Admins","05/07/2017 11:07:32","15/05/2023 08:53:30"
"Install Agent OCS","DURIN\Domain Admins","11/07/2017 10:23:49","15/05/2023 08:53:30"
"Install Certificado S4","DURIN\Domain Admins","16/04/2019 08:57:02","15/05/2023 08:53:30"
"LockScreen","DURIN\Enterprise Admins","23/01/2023 15:35:37","13/11/2023 14:56:16"
"LockScreen_W7","DURIN\Enterprise Admins","23/01/2023 16:49:34","15/05/2023 08:53:32"
"LINK",,"16/04/2019 16:57:02","15/05/2023 08:53:30"
"Libera SEsuita","DURIN\Domain Admins","25/09/2015 09:17:30","15/05/2023 08:53:30"
"Libera USB","DURIN\Domain Admins","03/08/2015 11:21:21","15/05/2023 08:53:30"
"IMPXR007_colorida","DURIN\Domain Admins","18/01/2013 09:50:10","15/05/2023 08:53:30"
"Default Domain Controllers Policy","DURIN\Domain Admins","10/01/2012 10:39:16","15/05/2023 08:53:26"
"Default Domain Policy","DURIN\Domain Admins","10/01/2012 10:39:16","15/05/2023 08:53:26"
"Create User Local","DURIN\Domain Admins","21/09/2022 08:49:55","15/05/2023 08:53:32"
"Block USB","DURIN\Domain Admins","22/07/2015 09:13:21","15/05/2023 08:53:30"
"Bloqueia Windows Store","DURIN\Domain Admins","19/10/2017 14:57:37","15/05/2023 08:53:30"
"Diretivas Expedicao","DURIN\Domain Admins","10/04/2012 15:41:19","15/05/2023 08:53:30"
"Diretivas Ferramentaria","DURIN\Domain Admins","02/06/2017 11:48:04","15/05/2023 08:53:30"
"Diretivas Diretoria","DURIN\Domain Admins","13/01/2012 15:58:30","15/05/2023 08:53:30"
"Diretivas Administrativo","DURIN\Domain Admins","13/01/2012 10:54:15","15/05/2023 08:53:30"
