"Name","IPv4Address","LastlogonDate","OperatingSystem","Description"
"DTVPC084",,"24/04/2019 17:27:48","Windows 7 Professional",
"DVM003","10.0.7.184","02/08/2022 16:37:19","Windows 7 Professional",
"USER-PC","10.0.7.62","30/03/2022 14:07:13","Windows 7 Professional",
"DTIPC010","10.0.7.141","07/04/2022 09:33:42","Windows 7 Professional",
"DPCPPC005",,"28/07/2022 10:40:42","Windows 7 Professional",
"DTVPC025","10.0.7.130","23/04/2019 17:14:05","Windows 7 Professional",
"DTVPC064","10.0.7.163","24/04/2019 17:28:35","Windows 7 Professional",
"DCDPC010",,"03/06/2019 16:41:58","Windows 7 Professional",
"DPDPC023",,"26/09/2022 05:02:37","Windows 7 Professional",
"PC007",,"28/02/2022 11:20:01","Windows 7 Professional",
"DBKPC011",,"20/04/2022 10:22:52","Windows 7 Professional",
"DPDPC022","10.0.7.62","27/09/2022 16:01:43","Windows 7 Professional",
"DPRPC011","10.0.7.115","21/03/2022 15:57:33","Windows 7 Professional",
"DTVPC002","10.0.7.190","30/04/2019 14:23:52","Windows 7 Professional",
"DCOPC001","10.0.7.200","04/03/2022 07:52:49","Windows 7 Professional",
"DCON002","10.0.7.212","05/04/2022 08:50:54","Windows 7 Professional",
"DTVPC004","10.0.7.201","30/04/2019 14:26:57","Windows 7 Professional",
"DTIPC026","10.0.7.190","21/03/2022 11:07:22","Windows 7 Professional",
"DTVPC001","10.0.7.43","15/01/2024 09:21:06","Windows 7 Professional",
"DCPPC029","10.0.7.59","11/01/2024 07:25:54","Windows 7 Professional",
"DTVPC096",,"03/05/2017 08:37:54","Windows 7 Professional",
"DCPPC005","10.0.7.90","09/01/2024 07:51:41","Windows 7 Professional",
"DGNPC005","10.0.7.70","12/01/2024 09:36:17","Windows 7 Professional",
"DVDPC070","10.0.7.184","14/11/2014 15:57:51","Windows 7 Professional",
"DVDPC025",,"19/03/2015 08:31:04","Windows 7 Professional",
"DTVPC082",,"17/02/2014 08:59:23","Windows 7 Professional",
"DVDPC006",,"29/08/2012 09:32:32","Windows 7 Professional",
"DPCPPC003",,"01/08/2022 14:16:14","Windows 7 Professional",
"DTVPC076","10.0.7.146","24/04/2019 17:27:44","Windows 7 Professional",
"DTVPC047","10.0.7.71","26/04/2019 08:39:17","Windows 7 Professional",
"DPCPPC004","10.0.7.8","28/07/2022 10:03:52","Windows 7 Professional",
"DQDPC020","10.0.7.46","15/01/2024 07:14:06","Windows 7 Professional",
"DVDPC004",,"17/09/2012 07:49:33","Windows 7 Professional",
"DVDPC00",,"29/08/2012 09:23:11","Windows 7 Professional",
"DRHPC101","10.0.7.104","08/01/2024 07:54:31","Windows 7 Professional",
"DTVPC097","10.0.7.153","31/10/2016 17:47:48","Windows 7 Professional",
"DCOMPC002","10.0.7.122","25/06/2020 08:09:59","Windows 7 Professional",
"DFISPC040","10.0.7.179","01/07/2020 13:38:31","Windows 7 Professional",
"DMKTPC060","10.0.7.4","25/05/2020 07:29:08","Windows 7 Professional",
"DPRPC079","10.0.7.111","19/05/2020 14:28:44","Windows 7 Professional",
"DTVPC011","10.0.7.106","26/04/2019 09:32:36","Windows 7 Professional",
"DTVPC065","10.0.7.198","04/11/2022 10:39:13","Windows 7 Professional",
"DTVPC006","10.0.7.50","23/04/2019 16:51:57","Windows 7 Professional",
"DRHPC080","10.0.7.167","31/01/2022 10:09:05","Windows 7 Professional",
"DTVPC031",,"03/06/2019 10:40:13","Windows 7 Professional",
"DBKPC005",,"20/04/2020 11:32:05","Windows 7 Professional",
"DDIPC001","10.0.7.110","19/05/2020 09:54:25","Windows 7 Professional",
"DCDPC015","10.0.7.21","31/03/2020 14:41:01","Windows 7 Professional",
"DFTPC036",,"23/04/2020 08:49:30","Windows 7 Professional",
"DTVPC099","10.0.7.168","23/07/2020 15:06:18","Windows 7 Professional",
"DCDPC002",,"10/10/2019 08:04:31","Windows 7 Professional",
"DRHPC49","10.0.7.82","07/08/2020 08:08:26","Windows 7 Professional",
"DFNPC001","10.0.7.177","01/07/2020 13:32:12","Windows 7 Professional",
"DGUPC002","10.10.0.99","29/07/2020 07:50:56","Windows 7 Professional",
"DTVPC013","10.0.7.72","11/03/2019 08:43:39","Windows 7 Professional",
"DBKPC007","10.0.7.210","24/03/2023 13:57:58","Windows 7 Professional",
"DPDPC013","10.0.7.187","08/04/2019 08:04:12","Windows 7 Professional",
"DTVPC037","10.0.7.129","06/03/2019 08:25:21","Windows 7 Professional",
"DLGPC008","10.0.7.192","07/02/2023 08:15:03","Windows 7 Professional",
"DPDPC018","10.0.7.217","13/03/2023 06:12:39","Windows 7 Professional",
"DTITEST033","10.0.7.166","03/06/2019 05:05:39","Windows 7 Professional",
"DTVPC079","10.0.7.215","03/02/2023 09:32:28","Windows 7 Professional",
"DTVPC040",,"11/04/2019 09:30:48","Windows 7 Professional",
"DBKPC012",,"10/10/2022 17:20:12","Windows 7 Professional",
"DREPC001","10.0.7.88","10/10/2022 08:02:58","Windows 7 Professional",
"DTVPC032","10.0.7.50","03/06/2019 10:16:22","Windows 7 Professional",
"DTVPC075","10.0.7.121","22/04/2019 14:52:42","Windows 7 Professional",
"DRHPC1","10.0.7.111","10/10/2022 10:35:04","Windows 7 Professional",
"DTVPC024","10.0.7.104","22/04/2019 14:20:40","Windows 7 Professional",
"DPROPC029","10.0.7.113","27/05/2019 07:00:50","Windows 7 Professional",
"DMANPC002","10.0.7.38","27/10/2022 15:32:45","Windows 7 Professional",
"DTVPC063","10.0.7.42","18/10/2022 15:55:13","Windows 7 Professional",
"DMONPC001","10.0.7.73","09/01/2024 04:56:13","Windows 7 Professional",
"DBKPC018","10.0.7.159","11/12/2023 13:25:21","Windows 7 Professional",
"TI-BKP001",,"26/06/2014 08:51:42","Windows 7 Professional",
"DTIPC030","10.0.7.69","07/01/2024 18:29:21","Windows 7 Professional",
"DBKPC019","10.0.7.89","12/12/2023 10:21:40","Windows 7 Professional",
"DFERPC009","10.0.7.27","09/01/2024 05:19:35","Windows 7 Professional",
"TESTE045-PC",,"29/07/2015 13:57:36","Windows 7 Professional",
"DVDPC019","10.0.7.158","10/01/2024 10:05:33","Windows 7 Professional",
"DCPPC032","10.0.7.89","08/01/2024 07:41:16","Windows 7 Professional",
"DQDPC009","10.0.7.42","20/12/2023 08:27:40","Windows 7 Professional",
"DPDPC060","10.0.7.30","15/01/2024 12:28:01","Windows 7 Professional",
"DCDPC006","10.0.7.36","12/01/2024 08:14:55","Windows 7 Professional",
"DCDPC005","10.0.7.186","15/01/2024 09:31:29","Windows 7 Professional",
"DVDPC014","10.0.7.53","08/01/2024 07:27:43","Windows 7 Professional",
"DFCPC002","10.0.7.32","08/01/2024 08:05:51","Windows 7 Professional",
"DPDPC025","10.0.7.6","08/01/2024 23:09:59","Windows 7 Professional",
"TIFORMAT059",,"18/02/2014 14:26:49","Windows 7 Professional",
"DCDPC014","10.0.7.41","08/01/2024 08:00:30","Windows 7 Professional",
"DQDPC008","10.0.7.93","08/01/2024 23:22:29","Windows 7 Professional",
"DCOPC008","10.0.7.28","15/01/2024 07:58:51","Windows 7 Professional",
"DSTPC002","10.0.7.13","08/01/2024 07:04:45","Windows 7 Professional",
"DFERPC005","10.0.7.20","09/01/2024 07:22:42","Windows 7 Professional",
"DFTPC013","10.0.7.16","15/01/2024 12:21:02","Windows 7 Professional",
"TESTE01PC",,"18/06/2015 15:42:14","Windows 7 Professional",
"DTIPC004","10.0.7.114","15/01/2024 16:32:48","Windows 7 Professional",
"DTIPC025","10.0.7.69","23/11/2023 08:22:14","Windows 7 Professional",
"DEXPC001","10.0.7.7","08/01/2024 23:33:18","Windows 7 Professional",
"DFNPC013","10.0.7.61","12/01/2024 07:54:14","Windows 7 Professional",
"DALPC001","10.0.7.142","15/01/2024 09:48:25","Windows 7 Professional",
"DCOPC004","10.0.7.123","07/12/2023 14:40:49","Windows 7 Professional",
"DTIPC021",,"03/11/2023 07:44:52","Windows 7 Professional",
