"Name","Description","DistinguishedName"
"Projetos",,"OU=Projetos,OU=Durin,DC=durin,DC=com,DC=br"
"Produtos",,"OU=Produtos,OU=Durin,DC=durin,DC=com,DC=br"
"Produção",,"OU=Produção,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Qualidade",,"OU=Qualidade,OU=Durin,DC=durin,DC=com,DC=br"
"Qualidade Sistemas",,"OU=Qualidade Sistemas,OU=Durin,DC=durin,DC=com,DC=br"
"Qualidade Produtos",,"OU=Qualidade Produtos,OU=Durin,DC=durin,DC=com,DC=br"
"Qualidade",,"OU=Qualidade,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Montagem",,"OU=Montagem,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Melhoria",,"OU=Melhoria,OU=Durin,DC=durin,DC=com,DC=br"
"Marketing",,"OU=Marketing,OU=Durin,DC=durin,DC=com,DC=br"
"Montagem",,"OU=Montagem,OU=Durin,DC=durin,DC=com,DC=br"
"Producao",,"OU=Producao,OU=Durin,DC=durin,DC=com,DC=br"
"Processos",,"OU=Processos,OU=Durin,DC=durin,DC=com,DC=br"
"Pcp",,"OU=Pcp,OU=Durin,DC=durin,DC=com,DC=br"
"Quimica",,"OU=Quimica,OU=Durin,DC=durin,DC=com,DC=br"
"Televendas DTISV024",,"OU=Televendas DTISV024,OU=Televendas,OU=Durin,DC=durin,DC=com,DC=br"
"Televendas",,"OU=Televendas,OU=Durin,DC=durin,DC=com,DC=br"
"Severs",,"OU=Severs,OU=Durin,DC=durin,DC=com,DC=br"
"Televendas DTISV026",,"OU=Televendas DTISV026,OU=Televendas,OU=Durin,DC=durin,DC=com,DC=br"
"Z_Teste",,"OU=Z_Teste,OU=Durin,DC=durin,DC=com,DC=br"
"Vendas",,"OU=Vendas,OU=Durin,DC=durin,DC=com,DC=br"
"Ti",,"OU=Ti,OU=Durin,DC=durin,DC=com,DC=br"
"Recepcao",,"OU=Recepcao,OU=Durin,DC=durin,DC=com,DC=br"
"Recebimento",,"OU=Recebimento,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Recebimento",,"OU=Recebimento,OU=Durin,DC=durin,DC=com,DC=br"
"RH",,"OU=RH,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Segurança",,"OU=Segurança,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Seguranca",,"OU=Seguranca,OU=Durin,DC=durin,DC=com,DC=br"
"Rh",,"OU=Rh,OU=Durin,DC=durin,DC=com,DC=br"
"Custos",,"OU=Custos,OU=Durin,DC=durin,DC=com,DC=br"
"Contabilidade",,"OU=Contabilidade,OU=Durin,DC=durin,DC=com,DC=br"
"Computadores",,"OU=Computadores,OU=Durin,DC=durin,DC=com,DC=br"
"Diretoria",,"OU=Diretoria,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Durin",,"OU=Durin,DC=durin,DC=com,DC=br"
"Domain Controllers","Default container for domain controllers","OU=Domain Controllers,DC=durin,DC=com,DC=br"
"Diretoria",,"OU=Diretoria,OU=Durin,DC=durin,DC=com,DC=br"
"Almoxarifado",,"OU=Almoxarifado,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Almoxarifado",,"OU=Almoxarifado,OU=Durin,DC=durin,DC=com,DC=br"
"ADM",,"OU=ADM,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Aprendiz",,"OU=Aprendiz,OU=Durin,DC=durin,DC=com,DC=br"
"Computadores",,"OU=Computadores,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Compras",,"OU=Compras,OU=Durin,DC=durin,DC=com,DC=br"
"Auditório",,"OU=Auditório,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Durin-Maceio",,"OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Gerentes",,"OU=Gerentes,OU=Durin,DC=durin,DC=com,DC=br"
"Ger. Industrial",,"OU=Ger. Industrial,OU=Durin,DC=durin,DC=com,DC=br"
"Fiscal",,"OU=Fiscal,OU=Durin,DC=durin,DC=com,DC=br"
"Gerentes",,"OU=Gerentes,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Manutencao",,"OU=Manutencao,OU=Durin,DC=durin,DC=com,DC=br"
"Logistica",,"OU=Logistica,OU=Durin,DC=durin,DC=com,DC=br"
"Juridico",,"OU=Juridico,OU=Durin,DC=durin,DC=com,DC=br"
"Expedição",,"OU=Expedição,OU=Durin-Maceio,DC=durin,DC=com,DC=br"
"Expedicao",,"OU=Expedicao,OU=Durin,DC=durin,DC=com,DC=br"
"Ecommerce",,"OU=Ecommerce,OU=Durin,DC=durin,DC=com,DC=br"
"Exportacao",,"OU=Exportacao,OU=Durin,DC=durin,DC=com,DC=br"
"Financeiro",,"OU=Financeiro,OU=Durin,DC=durin,DC=com,DC=br"
"Ferramentaria",,"OU=Ferramentaria,OU=Durin,DC=durin,DC=com,DC=br"
"Faturamento",,"OU=Faturamento,OU=Durin,DC=durin,DC=com,DC=br"
