"Name","OperatingSystem","Description"
"DTISV003","Windows Server 2008 R2 Standard",
"DTISV008","Windows Server 2019 Standard",
"DTISV034","Windows Server 2008 R2 Standard",
"DTISV035","Windows Server 2008 R2 Standard",
"DTISV077","Windows Server 2012 Standard",
"MINISAP","Windows Server 2008 R2 Standard",
"DTISV048","Windows Server 2019 Standard",
"DTISV100","Windows Server 2012 Standard",
"DTISV041","Windows Server 2008 R2 Enterprise",
"DTISV047","Windows Server 2019 Standard",
"DTISV032","Windows Server 2008 R2 Standard",
"DTISV050","Windows Server 2019 Standard",
"DTISV049","Windows Server 2019 Standard",
"DTISV099","Windows Server 2019 Standard",
"DTISV095","Windows Server 2019 Standard",
"DTISV002","Windows Server 2019 Standard",
"DTISV006","Windows Server 2022 Standard",
"DTISV007","Windows Server 2022 Standard",
"DTISV001","Windows Server 2022 Standard",
