BA97 | impzb001 | 10.0.3.11 → 7,351,966 
GO47 | impzb002 | 10.0.3.12 → 9,678,743 
CZ54 | impzb003 | 10.0.3.13 → 25,203,247 
CR38 | impzb004 | 10.0.3.14 → 8,781,004 
CZ57 | impzb005 | 10.0.3.15 → 7,890,363 
UA81 | impzb006 | 10.0.3.16 → 2,857,709 
G310 | impzb007 | 10.0.3.19 → 5,845,533 
G309 | impzb008 | 10.0.3.20 → 8,818,913 
CR40 | impzb009 | 10.0.3.21 → 22,807,208 
G347 | impzb010 | 10.0.3.30 → 26,985,498 
GO41 | impzb011 | 10.0.3.47 → 7,382,329 
CZ58 | impzb012 | 10.0.3.39 → INACESSÍVEL
49KC | impzb013 | 10.0.3.41 → 899,093 
O074 | impzb014 | 0.0.0.0 → INACESSÍVEL
CV26 | impzb015 | 0.0.0.0 → INACESSÍVEL
59RW | impzb016 | 10.0.3.44 → 922,587 
60RW | impzb017 | 10.0.3.45 → 1,173,213 
78DQ | impzb018 | 10.0.3.49 → 209,884 
